PM2.5,O3,PM10,SO2,NO2,CO
20.46,23.42,8.55,4.83,0.26,55.55
24.28,28.29,7.41,4.34,0.29,64.68
28.17,34.2,8.36,5.3,0.34,67.28
30.77,35.97,8.63,6.77,0.37,48.9
27.57,32.22,7.61,6.41,0.35,51.8
33.45,37.77,7.92,5.58,0.37,57.63
35.02,39.56,7.53,4.46,0.38,64.6
39.92,44.35,7.85,4.96,0.4,61.87
46.51,52.38,9.55,4.75,0.47,65.82
58.33,67.12,12.03,4.87,0.55,67.56
55.81,61.23,10.2,5.23,0.5,65.71
41.06,44.12,9.28,4.57,0.42,66.15
40.65,45.28,7.49,3.44,0.42,73.58
45.98,50.96,7.78,3.47,0.45,74.83
19.75,24.42,2.95,2.3,0.28,79.88
15.37,20.42,1.96,2.48,0.26,73.72
27.41,32.67,7.65,3.24,0.34,81.62
68.97,80.04,15.16,5.15,0.66,67.06
34.14,40.49,7.02,2.97,0.39,69.73
9.44,15.09,1.63,2.49,0.22,72.24
8.36,12.77,1.38,2.84,0.2,71.63
8.94,13.27,1.95,2.98,0.21,69.69
30.3,40.05,7.99,4.75,0.4,68.73
44.78,56.59,5.01,3.92,0.49,67.29
48.36,56.11,9.26,3.34,0.48,79.36
56.82,66.99,7.21,3.03,0.52,75.79
48.92,57.52,6.67,3.7,0.5,75.96
40.87,49.06,6.96,2.44,0.44,78.05
18.77,25.46,2.62,2.02,0.28,76.2
8.18,13.98,1.4,1.8,0.2,77.41
9.43,14.01,1.53,1.69,0.19,80.94
7.27,11.11,1.35,2.27,0.18,75.26
8.52,12.21,1.66,2.61,0.19,71.22
12.76,18.8,2.76,2.65,0.21,66.88
14.56,21.02,1.76,3.04,0.23,55.52
8.75,12.42,1.5,2.49,0.17,54.57
8.31,11.0,1.64,2.89,0.15,54.66
5.48,7.73,1.46,2.28,0.13,58.49
13.54,18.79,2.72,3.87,0.21,59.6
28.23,39.44,7.56,7.04,0.39,50.98
19.39,25.36,4.1,2.57,0.27,74.56
19.04,23.86,2.96,2.27,0.25,80.31
17.36,23.87,2.71,2.47,0.25,80.29
32.13,40.71,7.75,3.17,0.37,79.88
26.5,34.3,3.39,2.72,0.31,73.14
17.12,23.2,2.06,2.75,0.24,68.17
27.04,34.29,6.47,3.14,0.3,73.88
21.12,29.62,1.87,2.22,0.27,73.73
17.01,22.98,1.79,2.67,0.23,68.43
11.74,15.08,2.01,2.79,0.18,65.37
24.63,33.6,6.3,3.31,0.31,71.19
14.65,24.06,2.69,2.09,0.24,77.67
24.07,29.73,6.15,2.72,0.3,85.59
33.67,39.45,8.74,3.27,0.37,80.02
19.78,28.77,2.43,1.83,0.27,80.22
15.46,26.39,1.29,1.69,0.23,74.17
11.14,18.41,1.31,2.26,0.19,66.2
9.78,13.62,1.75,2.62,0.17,60.45
9.28,11.96,1.72,2.69,0.15,55.77
8.24,11.15,1.63,2.17,0.14,58.17
15.99,21.26,4.08,5.05,0.22,54.05
37.33,44.67,11.23,6.88,0.42,56.9
33.97,38.2,10.12,3.41,0.36,81.16
24.3,28.73,5.77,2.72,0.29,84.78
13.11,18.29,1.97,2.08,0.21,80.91
14.34,18.23,1.93,2.35,0.2,78.72
17.64,20.3,2.45,3.12,0.22,81.11
19.29,21.85,2.85,3.19,0.22,87.08
16.84,19.21,2.67,3.23,0.2,82.8
12.04,14.28,1.77,2.35,0.17,82.29
11.98,16.1,1.56,2.37,0.17,72.76
14.83,19.31,1.9,2.61,0.18,66.94
18.97,23.12,2.55,2.52,0.2,71.59
26.81,36.72,2.94,2.12,0.29,78.4
15.37,23.77,1.65,1.81,0.21,81.79
16.01,21.63,1.54,1.7,0.2,81.7
13.28,18.17,1.41,1.75,0.17,68.5
5.57,9.51,1.1,1.58,0.13,52.79
3.17,6.4,1.08,1.69,0.12,47.74
6.28,8.99,1.72,2.54,0.13,47.38
9.33,12.28,1.69,2.32,0.12,51.56
10.65,13.32,1.8,2.47,0.12,53.63
10.96,13.79,1.69,2.23,0.12,55.38
10.54,13.47,2.05,2.8,0.12,49.13
5.23,8.47,1.46,2.1,0.1,44.62
9.03,12.01,1.97,3.18,0.13,45.9
6.33,8.92,1.5,2.28,0.1,44.38
8.23,10.89,1.73,2.4,0.11,47.46
10.13,12.98,1.79,2.53,0.11,47.97
9.72,12.33,1.94,2.63,0.11,47.59
10.18,13.28,1.91,2.57,0.12,50.17
9.89,12.56,1.69,2.79,0.12,49.99
11.76,14.65,1.51,2.45,0.14,56.96
7.46,11.27,1.22,1.81,0.11,51.44
4.97,10.3,1.21,2.02,0.16,56.34
35.48,39.74,10.93,4.56,0.35,71.1
41.23,45.43,9.43,3.47,0.32,83.92
33.76,39.32,4.79,3.21,0.3,83.19
21.49,26.69,2.27,3.18,0.24,78.0
19.36,25.44,2.25,2.48,0.22,85.81
29.35,36.7,2.83,2.0,0.25,93.81
30.25,36.69,4.58,2.63,0.25,88.74
29.94,35.18,4.0,2.77,0.23,88.99
28.88,33.22,2.97,3.21,0.22,85.45
29.6,33.95,2.74,3.02,0.22,84.63
21.76,25.66,1.91,2.26,0.18,78.75
10.76,14.27,1.38,2.26,0.13,55.2
5.71,8.67,1.48,2.5,0.11,40.68
3.3,5.89,1.18,2.15,0.1,36.28
2.23,5.39,1.11,2.08,0.1,34.6
3.85,6.21,1.45,2.35,0.09,37.61
9.67,12.53,1.44,2.26,0.1,44.8
10.9,16.31,1.36,2.45,0.13,51.57
10.28,14.25,1.42,2.18,0.12,52.73
7.75,10.47,1.22,1.91,0.11,46.08
6.39,8.62,1.39,2.22,0.1,41.94
2.55,4.5,0.97,1.71,0.09,36.79
2.53,4.67,1.07,2.06,0.1,35.81
1.56,3.66,0.83,1.59,0.09,33.67
3.01,5.58,0.97,1.81,0.12,43.24
16.12,19.53,3.35,4.04,0.23,71.03
34.33,39.0,6.86,3.56,0.32,87.99
18.55,22.66,2.3,2.92,0.22,77.02
20.76,25.66,2.39,2.75,0.21,79.04
20.91,25.75,2.07,2.64,0.2,78.24
18.73,21.82,2.1,3.38,0.18,65.31
16.42,18.96,2.08,3.19,0.16,59.62
16.03,18.47,2.35,3.82,0.15,53.82
10.19,12.33,1.82,2.88,0.11,46.2
4.85,7.04,1.31,2.45,0.1,39.83
5.93,8.19,1.92,3.41,0.14,45.81
16.85,20.54,3.19,3.96,0.22,65.79
8.64,11.01,1.66,2.27,0.18,60.1
5.15,7.64,1.38,2.22,0.16,57.74
3.51,6.55,1.1,1.76,0.15,53.93
4.03,7.9,1.3,2.05,0.15,53.85
5.07,8.78,1.47,2.29,0.17,57.08
4.34,7.7,1.31,2.11,0.16,54.36
5.6,7.94,1.38,2.05,0.19,66.68
4.5,6.83,1.14,1.82,0.19,66.16
3.41,5.53,1.04,1.77,0.18,64.82
3.49,5.18,1.07,1.84,0.18,60.97
4.68,6.33,1.36,2.25,0.18,61.18
4.91,6.69,1.7,2.93,0.16,52.25
3.94,5.77,1.2,2.07,0.16,56.4
3.24,5.11,0.97,1.53,0.18,63.91
3.54,5.41,1.04,1.53,0.18,65.07
4.04,5.93,1.11,1.76,0.18,62.08
2.13,4.17,0.94,1.77,0.12,44.13
2.05,3.44,1.06,1.97,0.09,36.68
6.54,7.89,1.77,2.82,0.09,41.32
9.49,10.95,1.62,2.18,0.09,48.0
5.21,6.54,1.52,2.43,0.08,41.07
5.31,6.57,1.58,2.88,0.09,38.83
3.34,4.68,1.45,2.7,0.09,33.9
3.89,5.23,1.32,2.21,0.08,36.81
4.16,5.45,1.06,1.77,0.07,38.14
5.88,7.56,1.11,1.56,0.1,48.09
5.2,7.45,1.19,1.5,0.15,58.8
4.73,7.67,1.24,1.58,0.18,63.55
12.13,15.87,3.59,2.17,0.2,71.35
34.77,40.31,10.73,3.34,0.29,81.9
42.81,46.94,12.0,3.77,0.32,90.07
40.45,43.7,9.73,3.02,0.28,102.65
33.81,36.42,6.15,2.89,0.24,88.66
32.77,36.58,5.09,2.9,0.23,87.76
32.74,38.2,4.52,3.2,0.23,81.68
37.02,42.32,4.68,3.37,0.24,83.34
31.07,35.37,4.22,4.01,0.23,80.49
18.38,21.49,3.33,3.73,0.22,73.34
8.79,10.99,2.05,3.06,0.21,67.08
9.49,11.49,2.25,3.69,0.21,65.09
11.65,14.68,2.66,2.77,0.19,65.99
3.4,9.69,1.11,1.12,0.17,58.86
2.31,5.07,0.78,1.09,0.18,61.84
3.04,5.45,0.99,1.49,0.18,63.36
3.79,6.24,1.11,1.47,0.18,64.83
4.61,7.12,1.23,1.49,0.18,65.96
5.04,7.32,1.3,1.56,0.18,65.34
5.79,7.87,1.41,1.75,0.17,65.09
5.61,7.44,1.78,2.48,0.16,58.16
7.9,9.72,2.16,3.63,0.16,54.78
9.13,11.76,1.67,1.87,0.2,68.1
2.38,4.6,1.07,1.91,0.15,50.42
1.69,3.58,0.95,1.78,0.13,44.85
1.75,3.33,0.98,1.77,0.12,43.93
1.6,2.86,0.86,1.68,0.13,46.12
1.49,3.12,0.72,1.47,0.15,49.35
1.27,3.27,0.72,1.54,0.14,46.43
2.06,3.56,0.98,1.87,0.15,49.32
3.71,4.99,1.33,2.27,0.16,55.88
5.56,7.0,1.74,2.69,0.17,56.96
7.31,9.04,1.93,2.91,0.17,58.66
9.81,11.8,2.21,2.64,0.17,63.48
8.48,10.55,1.81,2.02,0.16,64.79
2.86,4.96,1.01,1.62,0.14,51.8
2.84,4.48,1.37,2.46,0.12,44.02
5.14,6.51,1.66,2.83,0.13,47.27
8.63,10.24,2.31,3.25,0.15,54.49
7.52,9.08,2.42,3.99,0.13,45.27
10.36,12.14,2.64,4.27,0.14,51.27
9.55,10.93,2.12,2.86,0.15,55.92
4.59,6.13,1.5,2.56,0.13,46.65
1.63,3.97,0.85,1.79,0.09,33.64
5.36,7.03,1.44,2.11,0.16,56.65
4.86,6.5,1.24,1.57,0.15,57.79
3.68,5.21,1.23,1.61,0.15,57.05
3.9,5.65,1.16,1.61,0.15,56.58
3.55,5.07,1.18,1.58,0.15,52.16
4.81,6.14,1.58,2.18,0.15,54.42
7.64,9.08,2.47,3.45,0.17,55.25
10.15,11.91,2.87,4.43,0.17,57.88
10.14,12.04,2.26,4.39,0.12,45.2
13.03,17.11,4.89,3.97,0.14,52.96
8.05,11.57,1.83,1.19,0.17,68.1
3.1,4.94,1.35,2.1,0.16,52.19
4.05,5.64,1.74,2.73,0.15,51.07
5.21,6.79,1.93,3.92,0.12,40.03
4.51,7.99,1.08,2.21,0.11,45.2
0.97,3.92,0.62,1.16,0.13,46.51
1.51,3.9,1.01,1.87,0.12,43.04
3.44,4.94,1.68,2.99,0.13,43.44
7.1,8.75,2.24,4.26,0.13,44.79
9.34,11.24,1.93,3.77,0.09,42.05
13.91,16.37,2.53,3.89,0.1,49.31
22.94,28.35,3.99,1.69,0.18,88.73
5.31,8.43,1.5,1.31,0.16,64.16
3.49,6.18,1.13,1.27,0.14,53.64
2.66,5.25,1.13,1.22,0.12,47.14
3.15,5.82,1.32,1.31,0.12,49.1
5.76,8.36,1.87,1.65,0.14,53.53
14.46,17.61,3.73,2.05,0.18,65.69
10.78,13.53,3.12,1.87,0.16,59.61
14.66,18.86,3.33,2.05,0.19,58.58
9.0,11.65,2.49,1.81,0.16,60.1
5.4,7.44,1.59,1.68,0.15,58.5
4.86,6.46,1.39,1.63,0.15,59.64
9.69,11.48,2.69,3.49,0.18,64.22
7.43,8.95,2.15,3.83,0.15,50.48
10.41,12.31,2.67,4.22,0.16,54.39
13.5,15.71,2.92,1.95,0.18,71.76
9.06,11.17,2.03,1.9,0.17,65.85
4.87,6.68,1.3,1.81,0.16,58.14
3.87,5.74,1.33,2.06,0.16,54.34
5.1,6.96,1.55,2.03,0.16,55.63
6.64,8.77,1.72,1.84,0.17,61.75
6.94,8.85,1.9,1.98,0.17,62.41
10.11,11.83,2.53,2.33,0.2,67.68
8.95,10.67,3.06,3.31,0.17,54.04
11.49,13.34,1.93,3.24,0.14,57.75
6.31,7.93,1.31,1.68,0.1,50.2
13.68,16.18,1.82,3.08,0.13,65.83
13.7,16.27,2.2,2.65,0.13,62.3
7.9,9.41,1.5,1.81,0.1,53.86
7.93,9.05,1.6,2.36,0.09,43.5
8.94,10.54,2.11,3.55,0.09,46.06
24.21,27.93,7.53,3.92,0.17,63.68
22.26,24.54,6.42,3.93,0.15,58.59
10.65,12.98,2.13,2.91,0.1,50.54
16.16,20.89,2.51,2.54,0.14,67.77
11.96,17.37,1.6,1.38,0.16,86.84
6.75,10.11,1.38,1.38,0.13,79.26
4.29,7.98,1.15,1.58,0.1,58.27
15.95,20.56,4.51,3.69,0.17,73.59
35.53,39.55,8.42,2.72,0.28,99.83
36.86,39.72,8.54,2.32,0.28,100.81
33.07,36.09,7.59,3.12,0.25,82.39
38.18,41.68,8.6,3.77,0.26,83.0
14.29,18.15,5.37,3.22,0.17,70.17
28.39,33.82,10.75,3.23,0.29,101.08
28.91,32.04,9.47,2.56,0.26,104.63
31.57,34.54,9.42,2.91,0.28,96.06
7.87,11.53,1.92,1.36,0.14,61.43
6.97,9.6,1.39,1.92,0.12,51.67
18.78,22.68,5.16,2.0,0.19,88.83
33.71,37.7,10.71,2.33,0.28,115.15
43.42,48.64,11.76,2.51,0.32,110.05
40.02,43.98,11.22,3.16,0.32,102.48
31.83,34.93,8.37,3.29,0.29,103.56
31.57,34.58,9.28,2.75,0.3,96.2
27.9,29.77,7.87,2.77,0.26,83.42
31.94,34.73,9.56,3.52,0.27,79.56
33.27,36.57,10.51,3.73,0.28,81.03
23.79,26.86,6.86,3.24,0.21,73.38
31.11,36.18,10.03,13.56,0.42,77.39
35.39,51.95,8.45,14.67,0.59,69.79
9.21,15.03,5.14,5.86,0.43,55.11
11.41,15.78,1.87,2.29,0.48,60.11
11.92,16.64,2.45,5.15,0.44,55.13
11.02,15.27,1.9,8.8,0.48,44.36
19.12,27.9,3.44,6.93,0.43,81.62
27.08,34.2,10.12,7.42,0.55,85.96
47.8,59.53,12.08,20.29,0.66,85.92
62.34,78.86,12.53,17.4,0.86,97.81
67.24,84.78,12.23,14.26,0.97,102.85
70.14,84.2,10.85,17.37,0.98,93.02
91.24,110.38,11.24,20.43,1.14,94.91
101.59,134.46,11.78,22.76,1.15,107.82
68.09,100.47,11.43,15.33,0.94,159.67
62.6,88.96,6.88,15.35,0.99,129.1
28.46,48.21,3.21,16.7,0.9,77.7
11.93,29.6,2.03,7.7,0.63,64.64
12.75,25.56,2.31,8.33,0.45,72.84
16.46,26.89,2.87,8.9,0.47,62.94
27.66,42.54,7.44,17.36,0.58,65.04
47.39,74.31,7.73,27.96,0.83,65.21
49.24,68.97,9.32,17.11,0.74,67.92
35.08,52.45,8.7,17.66,0.8,51.27
16.64,27.54,6.57,5.84,0.64,52.67
20.59,28.92,6.9,4.8,0.6,62.81
15.67,24.98,3.5,5.43,0.59,62.04
14.57,26.2,1.96,6.52,0.6,50.41
19.98,29.63,2.4,10.93,0.76,50.16
2.98,10.12,0.64,0.94,0.32,47.47
1.29,7.83,1.34,4.49,0.44,53.48
12.05,21.5,6.81,10.69,1.01,22.58
18.9,37.33,9.99,16.41,1.06,32.82
15.1,34.97,8.77,14.14,1.06,40.09
22.68,34.21,8.54,9.85,0.89,51.19
26.47,37.25,9.02,9.24,0.93,79.33
40.96,53.11,10.57,11.92,1.01,87.14
37.58,63.23,8.81,10.7,0.98,95.32
33.53,76.67,4.2,6.61,0.83,97.48
27.27,55.4,3.48,10.79,0.91,80.55
23.94,39.58,3.26,5.83,0.88,79.77
16.6,30.65,2.89,5.01,0.84,70.81
12.55,26.69,2.3,4.93,0.83,57.97
15.14,26.48,3.59,9.85,0.86,44.39
25.72,44.41,7.14,10.97,1.09,52.5
25.33,39.82,6.37,8.59,1.16,87.57
16.78,44.02,3.26,9.29,1.0,61.69
16.68,32.12,7.56,9.84,0.8,52.83
22.12,41.96,9.75,9.07,0.33,77.26
18.37,34.66,7.59,8.63,0.31,93.5
31.82,47.32,9.32,14.73,0.42,110.97
33.8,54.14,9.42,16.14,0.48,108.52
36.8,68.7,5.49,31.74,0.69,72.43
32.83,56.12,7.54,18.97,0.56,80.67
44.1,61.4,12.02,9.78,0.5,132.53
57.82,75.95,15.66,14.36,0.57,129.2
68.48,101.95,15.08,26.04,0.81,129.84
64.08,89.79,10.62,22.93,0.73,94.72
43.61,64.04,9.21,23.99,0.71,68.93
80.62,100.0,15.05,20.46,0.91,105.43
75.42,113.31,10.37,26.31,1.18,66.92
32.34,42.46,8.38,7.12,1.09,69.44
22.26,34.64,5.69,6.4,0.79,67.12
20.87,31.93,6.88,9.74,0.89,60.11
10.86,24.52,6.72,11.34,0.9,40.44
11.78,30.61,5.53,10.91,1.16,25.83
10.46,22.87,6.05,12.62,1.13,41.24
23.75,37.05,6.92,14.59,1.04,36.63
30.64,38.24,8.34,12.2,1.0,61.7
33.7,45.01,8.52,17.07,1.0,55.7
41.14,51.99,9.09,13.64,1.02,63.99
58.37,71.45,11.29,15.88,1.15,73.36
59.98,81.4,10.61,20.8,1.05,81.03
68.45,91.13,10.77,16.35,0.52,101.45
59.72,83.45,12.05,16.68,0.51,107.66
60.75,87.53,12.48,19.96,0.68,107.62
70.2,104.66,19.79,15.23,0.69,122.98
109.34,140.3,19.58,18.61,0.96,132.03
98.81,135.91,14.22,19.41,0.96,143.55
69.85,91.11,11.91,17.67,0.72,120.23
74.96,96.78,11.36,23.48,0.85,101.45
79.7,102.48,12.84,26.32,0.85,108.22
68.8,94.34,8.49,37.5,0.9,97.7
52.59,77.37,5.4,26.21,0.77,72.23
58.21,83.22,8.64,19.58,0.76,77.12
91.18,115.04,13.73,16.74,0.88,138.95
67.91,92.83,6.41,16.97,0.8,105.94
42.04,69.48,3.43,13.17,0.64,74.74
26.02,53.04,3.15,15.86,0.57,47.01
47.66,63.1,8.1,9.19,0.81,69.13
32.85,48.83,5.66,6.27,0.7,76.27
16.72,29.95,2.08,5.01,0.51,74.72
21.73,30.19,5.21,6.12,0.46,73.61
59.46,67.02,9.55,12.82,0.84,97.97
51.77,59.84,9.21,13.19,0.89,74.77
44.76,55.48,8.65,13.81,0.79,87.56
28.65,40.76,4.07,11.56,0.48,85.74
28.65,44.08,5.64,12.64,0.46,77.99
73.07,87.44,10.16,12.16,0.67,142.16
47.85,72.75,6.37,8.81,0.52,108.66
47.18,61.19,6.79,10.41,0.61,94.34
84.72,104.65,12.89,13.53,0.86,143.86
66.33,96.69,9.05,13.48,0.78,131.57
37.44,64.47,4.5,9.65,0.64,93.65
15.26,32.43,1.96,9.46,0.63,74.3
10.7,23.41,1.86,10.72,0.69,62.91
12.68,24.47,1.79,9.18,0.63,65.44
23.44,33.95,4.01,5.93,0.61,76.56
23.02,37.02,2.22,5.5,0.7,74.69
29.59,36.8,2.49,8.32,0.77,83.22
34.94,45.53,3.62,6.04,0.74,72.15
41.96,45.98,5.32,8.52,0.72,66.27
25.4,27.57,2.21,6.75,0.76,64.93
17.44,24.55,2.13,10.16,0.92,42.92
17.94,26.37,2.24,10.56,0.96,33.32
17.25,24.17,2.82,6.28,0.86,49.66
22.96,30.48,5.19,4.66,0.83,60.14
14.22,20.39,2.26,4.28,0.84,40.72
9.67,13.46,1.72,6.36,0.86,35.06
16.0,21.26,1.82,8.46,0.67,33.68
19.4,24.51,3.16,11.23,0.49,26.71
19.6,32.43,6.94,10.38,0.77,20.61
14.26,25.57,6.76,8.21,0.82,42.83
15.81,30.24,6.55,11.51,0.85,51.71
18.8,34.18,7.05,11.32,0.83,43.8
26.01,37.41,6.57,10.18,0.95,50.3
35.43,44.93,6.24,11.7,0.9,73.25
17.38,33.13,3.7,13.03,0.87,73.66
21.37,33.13,2.83,19.32,0.94,59.84
18.4,26.4,2.4,15.39,0.84,51.39
16.61,27.62,6.48,11.44,1.02,30.74
20.3,29.44,6.53,9.88,0.93,61.28
15.75,36.81,2.24,7.7,0.62,86.61
17.56,34.92,1.56,8.73,0.76,76.76
12.25,28.45,1.37,7.87,0.74,76.65
14.04,27.46,1.51,7.64,0.55,73.31
12.65,26.12,1.75,11.24,0.41,56.94
14.42,27.21,1.74,12.83,0.43,48.53
15.52,24.27,2.53,8.14,0.38,53.7
14.61,22.25,2.06,10.27,0.4,49.43
11.98,19.78,2.1,17.19,0.51,32.95
12.08,22.54,2.13,15.17,0.52,30.61
10.08,18.61,1.72,11.64,0.51,35.08
12.24,18.37,1.8,7.65,0.49,36.69
19.85,27.86,2.71,9.93,0.47,41.12
22.94,36.35,2.99,6.09,0.61,71.68
23.7,33.35,2.08,7.35,0.67,74.58
22.19,34.44,1.88,9.36,0.72,70.5
25.58,34.86,3.18,7.33,0.71,59.26
21.48,30.57,2.28,11.01,0.71,69.55
18.51,30.9,1.82,9.7,0.67,81.58
22.47,35.41,2.01,13.16,0.69,68.9
21.69,36.26,2.85,20.52,0.6,35.81
23.99,42.98,6.84,6.11,0.53,60.92
21.81,32.99,4.4,7.78,0.67,91.19
25.52,38.41,2.58,8.26,0.6,84.34
23.66,36.77,2.38,9.41,0.52,53.03
22.3,31.52,2.38,10.06,0.44,24.59
21.9,31.29,2.42,12.77,0.53,38.5
21.31,32.46,2.19,15.73,0.63,51.87
19.79,29.7,5.98,8.36,0.6,56.69
17.81,27.65,3.36,6.48,0.55,89.71
13.4,23.62,1.85,5.45,0.5,90.76
14.44,29.47,1.65,5.81,0.52,84.42
14.84,33.93,1.63,9.32,0.54,64.94
15.86,31.49,1.76,10.83,0.58,48.26
11.26,20.99,1.66,10.67,0.48,27.3
7.82,13.78,1.48,7.66,0.41,25.26
7.12,12.37,1.45,9.53,0.42,28.49
4.95,8.66,1.11,5.7,0.38,30.63
8.2,12.03,1.13,7.93,0.46,31.52
11.94,17.64,1.9,5.88,0.39,46.78
6.54,12.24,1.2,6.04,0.38,41.94
7.13,8.69,1.42,8.99,0.46,32.02
16.78,21.47,2.14,9.25,0.67,72.74
20.0,31.54,2.45,6.54,0.51,83.16
18.18,25.4,1.83,9.35,0.58,72.97
18.32,25.99,1.9,9.58,0.55,55.69
19.46,25.51,2.02,10.76,0.57,39.82
15.64,21.66,2.04,9.19,0.46,31.47
15.84,20.37,1.74,5.71,0.43,35.16
17.03,25.73,1.61,4.59,0.44,51.67
17.84,23.66,1.86,9.09,0.49,39.49
17.85,22.93,1.93,8.18,0.51,35.5
18.29,24.84,1.8,10.13,0.49,32.63
19.73,27.29,1.87,6.35,0.46,49.56
19.19,28.49,1.69,6.97,0.51,63.83
18.6,29.18,1.69,9.06,0.57,56.69
17.35,25.39,1.63,7.62,0.55,43.73
15.22,23.92,1.59,14.49,0.58,22.06
14.13,19.78,1.96,9.31,0.59,22.03
14.48,18.16,1.58,5.37,0.48,21.67
16.85,19.9,1.78,7.11,0.55,17.6
14.39,16.25,1.81,4.97,0.49,20.59
12.4,16.23,1.46,6.37,0.49,24.75
15.54,17.27,1.38,7.9,0.52,35.11
16.24,16.29,1.39,7.76,0.53,36.2
15.11,18.53,1.71,4.54,0.43,36.19
28.0,37.17,5.65,6.15,0.51,73.1
39.93,53.25,7.07,6.02,0.68,103.26
33.86,46.52,5.06,7.02,0.6,81.19
22.0,37.15,4.37,7.74,0.52,56.95
12.17,25.33,3.22,7.45,0.45,52.76
10.02,25.61,3.47,7.54,0.48,54.34
34.49,24.43,2.08,8.62,0.55,35.41
22.82,32.78,4.39,10.27,0.54,34.46
15.65,31.82,5.32,12.66,0.54,41.33
16.9,26.56,2.31,13.81,0.48,33.43
16.51,22.94,2.08,13.59,0.46,28.03
13.01,12.78,1.15,7.88,0.44,44.75
11.87,21.9,1.06,12.16,0.55,52.16
11.26,15.01,1.31,9.45,0.41,58.22
14.38,17.39,1.54,9.82,0.4,52.62
13.71,16.26,1.55,8.61,0.44,52.25
14.27,17.01,1.19,8.23,0.45,61.89
16.71,18.92,1.35,8.24,0.49,59.19
15.9,20.54,1.31,7.26,0.51,51.97
8.38,9.42,1.02,3.52,0.47,43.42
5.35,10.77,0.96,3.31,0.5,40.22
6.3,10.39,0.99,4.04,0.51,46.69
5.14,9.13,1.1,4.31,0.39,50.9
6.24,11.36,1.07,4.33,0.41,48.14
8.7,15.8,1.04,4.79,0.44,55.94
8.73,12.83,1.07,5.23,0.42,49.26
8.01,8.92,0.99,3.45,0.45,42.3
5.79,6.56,0.98,3.92,0.47,32.99
7.36,10.07,1.28,8.76,0.5,25.32
8.66,10.49,1.58,11.33,0.38,25.15
10.74,13.28,1.47,14.78,0.46,29.63
8.01,9.03,1.34,9.15,0.49,47.89
11.79,12.94,1.13,10.98,0.57,51.53
9.82,10.63,1.22,9.37,0.55,46.19
7.95,7.13,1.16,7.24,0.51,34.53
10.79,7.91,1.35,6.91,0.5,35.83
8.72,9.73,1.39,6.06,0.46,53.81
5.86,11.36,1.25,6.6,0.46,51.0
6.43,11.35,1.26,7.16,0.42,60.7
8.14,12.36,1.43,12.57,0.47,63.25
9.91,20.78,1.57,16.47,0.46,52.8
7.51,10.89,1.57,8.67,0.39,66.97
10.08,13.99,1.82,9.61,0.42,65.58
9.0,16.51,1.91,14.49,0.41,47.85
11.34,18.48,3.0,13.27,0.45,48.88
14.55,22.94,2.98,14.44,0.49,49.09
18.88,27.94,4.32,18.66,0.56,48.7
18.82,32.28,3.81,21.23,0.58,44.53
7.67,13.4,2.43,14.67,0.51,39.15
7.54,13.36,1.94,17.01,0.42,42.86
7.2,12.63,1.73,17.5,0.38,41.49
5.72,22.22,1.35,21.94,0.45,39.38
5.23,12.07,1.22,13.61,0.37,48.79
7.59,15.94,1.38,11.15,0.4,47.34
8.49,21.86,1.74,11.62,0.38,47.88
10.14,24.33,2.3,9.49,0.39,45.34
6.81,12.38,2.02,11.29,0.41,40.86
6.04,11.59,1.61,13.36,0.35,38.6
8.31,16.76,1.11,14.67,0.39,43.33
9.18,22.0,1.25,18.78,0.39,36.15
8.73,18.98,1.65,14.18,0.39,35.54
10.33,20.31,2.28,18.94,0.42,40.05
11.43,19.63,2.93,16.37,0.46,30.64
10.54,14.36,2.8,15.25,0.45,32.45
5.75,12.33,1.33,14.73,0.47,41.39
10.71,25.21,1.58,20.54,0.54,35.34
