PM2.5,O3,PM10,SO2,NO2,CO
8.14,15.81,1.78,10.62,0.46,40.14
9.28,14.17,1.67,10.66,0.46,49.2
8.18,12.62,1.53,7.04,0.45,48.13
9.43,13.0,2.01,8.99,0.47,57.42
14.12,24.77,2.65,21.5,0.52,41.1
12.03,25.79,2.34,20.09,0.43,40.97
9.18,18.44,1.63,21.27,0.42,39.17
6.86,13.47,1.56,14.19,0.4,43.56
9.79,19.82,1.79,22.97,0.48,31.32
8.02,16.42,1.73,14.42,0.45,34.22
6.69,13.06,1.47,9.09,0.5,34.74
3.75,9.71,1.21,8.52,0.56,28.84
3.61,8.57,1.22,6.17,0.43,30.45
7.78,13.09,2.3,11.07,0.42,33.49
10.02,17.05,2.06,12.38,0.42,35.25
12.41,22.97,3.49,8.85,0.34,39.08
4.33,15.05,1.22,9.18,0.42,41.33
3.99,12.02,1.26,13.26,0.51,30.28
9.02,19.22,1.74,14.05,0.48,29.81
12.26,17.63,2.31,13.76,0.4,33.67
13.03,23.37,2.75,19.57,0.39,27.31
11.52,16.2,2.67,11.57,0.34,39.31
9.99,19.67,2.36,18.34,0.39,43.25
11.44,32.85,2.14,25.91,0.5,28.56
10.58,18.42,2.75,15.22,0.39,37.68
10.79,17.78,2.75,17.7,0.41,35.01
10.44,15.78,2.69,14.53,0.38,30.7
8.35,12.36,2.27,11.88,0.38,24.03
8.67,14.76,2.19,10.79,0.38,25.57
11.63,18.68,2.57,14.81,0.41,31.81
8.15,15.44,2.01,10.71,0.4,40.25
6.29,13.71,1.71,13.88,0.41,42.57
5.32,14.6,1.81,14.48,0.42,35.28
5.04,16.5,1.52,17.15,0.41,32.52
4.3,9.4,1.31,16.76,0.41,30.8
4.6,16.19,1.14,17.03,0.48,24.32
3.49,9.57,1.14,15.34,0.42,31.93
3.56,12.26,1.14,13.01,0.38,37.24
3.9,11.7,1.27,10.0,0.38,44.58
5.34,18.57,1.47,17.73,0.41,46.63
5.29,17.5,1.4,15.32,0.4,49.34
9.82,22.79,2.68,19.38,0.42,45.42
12.43,27.91,3.76,22.64,0.46,43.14
11.63,24.98,3.66,19.32,0.45,38.03
8.27,21.89,1.64,15.08,0.45,36.93
9.25,22.6,1.76,14.59,0.46,41.03
7.76,16.56,1.63,8.02,0.47,56.03
8.42,15.71,1.58,7.2,0.41,56.68
5.84,11.5,1.4,8.21,0.4,50.81
12.84,19.87,2.71,13.99,0.45,43.88
11.64,24.65,2.37,17.97,0.57,35.67
7.8,17.19,2.19,11.95,0.56,36.94
6.12,15.33,1.5,14.99,0.59,29.66
6.57,13.47,2.27,12.02,0.55,27.51
6.02,10.14,1.76,12.07,0.49,22.09
5.93,12.19,1.84,14.18,0.52,20.0
7.09,19.12,2.14,14.61,0.53,21.2
3.31,6.55,1.55,8.99,0.5,37.0
5.67,9.1,1.72,12.26,0.46,27.02
6.77,11.58,1.9,14.62,0.47,23.49
5.89,13.44,2.29,15.34,0.54,26.83
3.9,7.72,1.82,8.63,0.51,36.33
4.81,9.17,2.07,14.83,0.48,32.39
7.56,19.98,2.38,14.8,0.5,27.48
9.52,18.88,2.69,16.37,0.54,25.67
16.91,27.15,4.51,18.19,0.46,39.29
19.52,39.03,6.97,18.62,0.52,24.53
20.25,37.77,7.08,15.15,0.51,47.93
18.27,30.01,4.07,15.93,0.54,31.82
16.04,26.21,3.06,19.11,0.48,30.32
15.57,23.26,3.27,23.34,0.53,21.3
17.73,26.76,3.89,18.72,0.49,28.64
14.86,24.92,3.29,18.54,0.41,35.7
17.58,27.46,4.49,19.78,0.46,33.78
16.52,29.63,5.21,16.14,0.48,29.14
27.39,34.37,7.97,6.2,0.38,58.57
7.54,16.07,1.09,5.53,0.42,39.89
6.3,20.45,1.53,8.43,0.54,35.33
9.86,16.34,2.81,11.41,0.49,28.4
13.26,23.96,2.27,17.0,0.48,29.84
19.31,38.27,7.76,18.23,0.51,34.23
16.26,39.73,7.27,17.72,0.59,41.36
30.9,41.74,6.1,11.46,0.6,82.17
36.29,46.55,6.63,14.58,0.57,98.23
38.21,53.18,7.21,19.46,0.62,86.04
39.85,55.57,6.92,17.69,0.6,81.4
22.69,41.93,5.71,8.88,0.5,40.91
11.8,27.06,3.36,6.33,0.41,22.89
13.11,20.61,2.23,6.51,0.43,21.34
14.26,19.22,2.36,9.33,0.39,23.19
19.64,35.01,6.51,9.97,0.39,38.26
27.81,48.83,7.61,11.58,0.46,44.8
25.54,49.74,8.25,12.96,0.47,55.96
27.5,49.54,7.23,12.02,0.53,68.01
28.38,40.8,6.16,11.2,0.63,64.47
29.29,47.11,8.29,7.29,0.51,121.22
35.47,61.59,8.19,6.36,0.5,120.11
44.98,72.81,9.14,9.84,0.56,121.91
51.52,80.45,8.07,13.51,0.63,117.69
59.97,90.14,6.27,15.1,0.72,117.04
38.67,66.46,5.17,17.53,0.59,103.94
39.8,64.36,6.53,12.94,0.59,111.91
46.09,67.74,7.88,13.06,0.61,107.03
48.33,76.53,8.65,12.96,0.52,124.89
43.14,70.85,5.78,10.79,0.52,101.84
43.64,65.35,4.44,5.48,0.49,118.89
20.86,43.35,2.53,3.77,0.41,101.33
29.92,36.22,2.65,4.69,0.38,91.37
14.73,29.7,1.84,4.78,0.38,69.54
9.32,18.31,1.58,6.08,0.37,40.47
8.79,15.39,1.79,12.67,0.43,28.76
17.1,30.7,4.78,9.98,0.45,44.87
33.6,51.74,7.28,10.51,0.49,82.98
10.44,16.42,3.42,4.51,0.36,60.76
7.72,11.98,1.91,6.39,0.38,53.24
7.2,10.18,1.73,5.67,0.39,43.64
8.28,11.91,1.89,6.12,0.37,49.45
10.78,18.98,1.98,4.38,0.32,51.75
8.67,14.03,1.64,13.49,0.43,29.51
12.36,22.75,1.99,7.07,0.41,35.1
11.15,22.28,1.85,6.05,0.42,41.71
8.52,22.01,1.86,7.29,0.43,45.52
23.5,36.51,5.81,7.67,0.43,62.97
35.47,47.23,6.08,9.0,0.71,71.79
32.92,44.43,6.56,14.83,0.78,73.18
18.61,29.82,3.68,12.19,0.67,67.2
11.72,20.63,2.58,7.18,0.54,71.68
12.47,19.24,2.78,11.13,0.52,54.65
10.85,23.24,3.29,7.93,0.46,55.98
14.29,30.05,6.47,7.29,0.45,62.0
15.34,22.54,3.25,9.32,0.45,68.31
13.11,20.01,2.78,6.81,0.43,67.69
15.53,32.2,6.38,7.36,0.44,63.43
17.78,34.57,5.58,9.27,0.64,64.28
30.65,47.47,6.55,13.29,0.69,74.41
22.83,35.09,4.93,8.75,0.62,79.7
18.81,32.03,7.18,6.1,0.41,81.08
37.02,53.01,7.84,8.64,0.54,99.02
40.37,54.2,6.83,9.73,0.55,90.55
33.38,51.93,6.4,10.95,0.52,94.71
29.44,45.85,6.59,9.15,0.48,96.35
17.89,28.72,3.75,13.43,0.45,76.45
12.89,24.49,2.42,12.34,0.47,58.44
12.21,21.46,2.54,12.07,0.42,53.33
8.0,18.86,1.83,7.15,0.37,54.87
8.04,18.75,1.78,10.27,0.36,47.33
13.87,24.39,5.82,8.22,0.33,49.73
14.76,25.29,3.23,7.11,0.33,51.43
13.29,21.05,2.12,7.65,0.32,44.95
10.21,20.02,2.15,9.38,0.36,39.36
8.7,17.04,2.23,8.78,0.34,34.8
11.49,25.74,4.97,9.88,0.58,44.59
9.8,25.05,7.07,8.33,0.89,55.47
11.75,22.96,4.67,7.88,0.53,58.45
8.82,21.41,6.01,7.78,0.6,46.27
10.47,23.58,6.89,11.33,0.6,53.94
12.81,22.33,6.3,8.25,0.54,63.92
19.21,29.65,5.93,10.08,0.55,58.2
17.92,29.52,7.04,11.41,0.57,54.35
27.26,38.83,7.11,8.61,0.49,72.49
30.85,39.68,7.29,13.08,0.55,71.58
44.1,54.55,8.37,12.59,0.67,74.15
35.58,48.1,7.1,8.71,0.63,67.59
33.9,52.02,8.9,9.86,0.66,65.95
40.81,52.99,8.44,9.62,0.59,82.61
24.14,39.07,5.72,12.48,0.52,69.53
43.67,56.47,7.66,10.72,0.6,72.41
49.53,82.09,11.94,12.67,0.7,90.34
26.77,49.63,9.32,13.79,0.52,87.73
22.11,34.8,7.6,30.52,0.68,38.73
22.3,30.04,7.13,13.3,0.57,69.53
30.48,39.92,6.8,13.07,0.57,74.47
46.06,58.94,12.28,11.32,0.59,103.79
37.62,56.71,8.4,27.85,0.71,64.9
20.13,32.88,8.15,19.43,0.66,54.22
13.82,24.21,6.24,7.76,0.51,65.63
16.89,29.81,3.69,5.96,0.48,67.75
11.78,25.05,3.68,5.2,0.47,67.99
15.31,29.3,6.69,8.56,0.72,59.78
31.77,43.3,5.38,11.32,0.76,70.58
33.68,46.81,6.18,12.54,0.49,78.5
26.92,37.06,6.8,18.07,0.41,81.99
36.05,49.19,9.74,14.47,0.43,96.61
35.49,50.79,5.19,9.97,0.45,89.65
18.59,38.28,2.74,9.21,0.35,75.56
15.92,30.61,2.16,16.74,0.39,58.5
12.45,26.78,1.89,25.67,0.49,34.14
10.14,27.24,1.91,27.78,0.57,24.25
22.4,37.34,4.95,16.27,0.49,50.3
40.72,55.25,7.75,11.59,0.9,71.84
25.41,33.37,6.44,7.55,0.72,81.56
31.3,40.17,6.93,7.72,0.56,97.82
26.41,36.73,7.34,6.6,0.43,85.89
23.29,38.57,7.28,16.93,0.61,57.17
14.41,30.64,6.45,19.46,0.6,52.68
21.3,32.07,6.29,14.24,0.49,69.19
29.7,39.75,6.26,20.91,0.52,76.05
28.8,42.26,6.19,27.69,0.51,79.16
35.9,50.01,7.3,21.55,0.52,89.77
40.88,53.38,6.02,15.71,0.51,88.71
65.38,79.55,10.75,16.23,0.66,130.87
57.9,81.37,6.57,37.15,0.72,88.73
47.04,68.4,4.52,29.53,0.72,79.42
61.16,75.97,8.25,24.88,0.75,95.18
58.29,82.44,5.96,19.73,0.77,123.74
21.28,43.07,2.15,31.87,0.58,71.93
23.64,43.25,2.71,26.81,0.6,59.41
22.56,38.17,2.29,26.91,0.53,45.42
19.0,32.0,1.94,21.32,0.44,48.47
20.78,28.43,2.25,11.41,0.39,69.27
22.24,34.8,1.94,11.49,0.44,69.74
17.8,30.75,4.42,8.55,0.41,72.69
33.28,45.99,7.09,7.45,0.48,90.55
28.68,42.46,5.75,5.69,0.49,75.67
17.66,30.19,4.13,5.68,0.48,77.89
15.15,26.66,2.87,8.26,0.4,74.5
21.56,33.87,5.94,6.45,0.39,78.69
48.2,62.88,6.81,11.34,0.73,86.55
32.81,44.71,6.82,12.34,0.89,76.74
39.47,54.18,6.69,15.41,0.73,75.83
51.67,65.27,7.38,10.86,0.81,82.9
48.2,59.43,7.12,8.32,0.7,104.98
39.03,52.07,5.13,6.81,0.55,99.46
33.44,45.03,3.65,9.31,0.57,93.98
35.32,44.5,4.83,10.26,0.58,80.85
48.53,58.11,6.35,8.56,0.65,101.25
35.43,44.68,3.53,8.3,0.67,104.15
24.48,31.75,2.28,9.36,0.59,71.16
22.29,29.48,1.96,13.77,0.63,45.6
20.33,25.57,2.65,8.28,0.51,53.12
29.46,40.77,4.09,4.59,0.46,56.01
42.65,55.62,2.65,3.25,0.55,76.93
31.02,47.5,2.1,5.49,0.58,70.17
21.41,28.3,2.26,7.42,0.56,46.41
17.98,23.64,2.04,14.2,0.62,29.23
14.6,18.73,1.87,13.29,0.65,25.49
13.55,18.2,2.04,6.71,0.58,36.66
16.27,20.87,2.0,6.43,0.45,53.06
11.44,15.69,1.73,4.82,0.4,42.53
11.06,15.06,1.75,6.03,0.41,40.67
11.17,15.24,1.93,4.73,0.42,45.3
18.22,25.58,3.85,5.09,0.41,47.83
21.07,29.38,3.69,4.85,0.44,63.12
13.49,20.77,1.87,9.13,0.47,43.21
16.1,24.58,2.64,6.34,0.41,46.1
12.91,19.46,1.74,10.02,0.51,39.34
9.93,15.35,1.72,5.34,0.45,40.56
13.5,17.66,1.87,4.52,0.42,48.64
17.31,22.52,1.94,4.99,0.44,54.9
17.06,22.48,2.07,6.17,0.44,49.63
19.17,26.77,2.16,5.24,0.42,51.34
18.99,31.32,2.26,5.17,0.51,80.4
17.24,27.42,2.07,7.85,0.57,72.51
19.79,31.79,1.97,8.04,0.67,72.38
17.7,26.27,1.99,5.63,0.65,57.88
15.87,22.69,2.16,6.31,0.67,58.12
13.49,19.33,2.07,8.05,0.61,56.03
12.79,22.91,1.54,5.75,0.55,50.18
18.51,28.81,1.24,9.65,0.55,52.96
17.42,26.99,1.48,12.24,0.54,49.2
11.85,24.66,1.59,12.21,0.55,49.94
13.55,20.82,1.75,9.23,0.41,55.03
28.62,37.61,3.01,9.98,0.42,61.68
33.09,44.64,3.16,5.6,0.51,88.52
28.61,43.67,2.17,4.02,0.49,90.09
17.95,28.27,2.31,3.16,0.4,92.07
10.98,21.24,1.5,2.81,0.36,85.76
12.97,22.0,1.61,4.21,0.41,78.1
16.15,23.15,1.85,3.54,0.42,72.05
15.75,22.6,1.69,4.11,0.46,59.67
14.87,21.81,1.83,8.23,0.54,40.73
10.73,17.3,1.53,10.83,0.52,43.53
9.55,16.08,1.6,10.52,0.52,38.29
7.74,13.46,1.36,8.07,0.53,39.06
8.84,14.26,1.13,4.97,0.52,40.6
6.47,14.58,1.05,3.5,0.47,36.28
5.4,9.79,1.34,3.8,0.49,36.65
6.76,11.8,1.57,7.49,0.55,38.59
8.6,16.85,1.67,10.87,0.43,39.09
20.74,32.28,6.02,6.91,0.52,59.27
10.89,20.06,4.06,12.05,0.58,69.75
12.7,21.66,3.0,12.89,0.59,60.88
14.6,26.15,6.13,10.76,0.68,68.13
13.36,27.97,7.01,7.41,0.64,72.76
35.37,46.9,8.42,8.07,0.6,105.37
37.86,71.53,6.72,14.67,0.6,95.3
26.57,58.5,2.92,11.06,0.46,84.93
17.95,32.06,2.98,19.78,0.52,86.25
18.33,35.6,2.26,12.52,0.57,56.52
13.9,22.59,1.53,4.6,0.55,54.46
13.68,17.85,1.65,5.92,0.59,44.65
16.53,23.85,1.94,10.48,0.6,51.32
30.75,42.31,4.75,7.77,0.73,79.36
23.44,38.54,5.77,13.07,0.72,70.98
17.4,27.25,2.72,12.78,0.61,60.61
14.5,20.75,1.65,5.8,0.57,64.56
16.49,22.76,1.89,3.73,0.56,69.17
24.08,31.48,2.99,5.55,0.68,79.17
19.78,27.52,1.96,10.52,0.62,61.33
15.29,22.52,2.15,8.05,0.47,46.92
11.97,20.98,2.26,13.65,0.55,31.76
6.65,12.49,1.68,7.0,0.46,38.18
4.97,9.4,1.39,5.3,0.47,37.66
9.43,11.32,1.43,5.19,0.51,44.99
9.83,12.16,1.57,4.7,0.53,51.52
9.19,13.75,1.58,4.86,0.49,51.75
9.09,13.89,1.6,5.0,0.51,52.58
14.68,19.54,1.39,4.5,0.56,56.22
11.49,14.69,1.37,4.36,0.54,53.15
10.45,13.35,1.25,3.99,0.52,44.51
8.39,12.24,1.5,4.42,0.53,47.72
11.15,14.2,1.45,10.43,0.59,62.98
6.8,10.41,1.11,4.68,0.49,44.33
10.11,18.59,1.56,11.44,0.56,34.49
3.49,9.38,1.2,8.87,0.54,30.13
3.71,8.19,1.02,3.8,0.51,35.43
4.53,8.66,1.06,3.48,0.6,41.05
4.83,9.36,1.09,3.2,0.59,39.38
5.48,11.32,1.14,4.1,0.68,40.55
9.97,15.68,1.22,6.34,0.68,50.68
12.96,18.53,1.45,5.7,0.63,66.47
12.84,20.14,1.51,16.54,0.67,60.99
9.26,17.55,1.68,18.34,0.65,66.25
8.11,13.43,1.48,10.31,0.58,67.04
8.19,15.56,1.56,10.26,0.58,67.81
9.36,15.74,1.69,17.94,0.59,62.4
12.67,29.68,1.65,13.5,0.62,61.57
12.6,22.97,1.46,8.13,0.56,67.46
8.87,17.4,1.44,6.74,0.51,67.29
8.52,18.67,1.3,11.52,0.53,70.31
12.01,25.06,1.37,9.18,0.51,67.07
12.96,18.28,1.31,8.81,0.55,60.2
8.49,25.81,1.42,4.26,0.52,67.63
7.19,26.48,1.41,4.94,0.54,62.74
7.68,20.02,1.16,3.08,0.42,50.92
6.01,15.39,1.28,4.0,0.39,39.39
6.46,13.9,1.26,8.45,0.43,37.28
4.87,13.55,1.36,10.34,0.46,30.19
3.89,10.01,1.33,4.64,0.44,42.36
3.95,8.01,1.19,3.51,0.43,35.75
4.59,7.99,1.33,3.25,0.42,37.34
6.43,10.13,1.49,3.5,0.37,51.43
9.4,14.28,1.5,4.25,0.43,59.45
5.54,15.53,1.3,3.21,0.47,46.21
3.52,9.39,1.28,2.85,0.46,36.86
3.39,7.29,1.35,4.58,0.47,31.94
3.72,9.25,1.26,6.9,0.48,29.76
3.89,7.51,1.48,7.21,0.44,27.71
3.15,6.59,1.6,11.37,0.47,25.81
4.67,7.74,1.81,11.95,0.47,27.47
5.23,10.44,1.94,11.1,0.47,31.9
8.69,13.07,2.78,12.57,0.45,30.91
8.57,11.66,1.93,10.31,0.41,33.91
7.05,12.29,1.61,13.89,0.5,23.58
6.43,12.57,2.19,8.81,0.41,37.19
7.84,23.19,2.16,1.89,0.32,50.58
3.25,11.64,1.46,13.78,0.51,30.69
5.35,14.76,1.66,15.26,0.51,37.41
7.47,14.14,2.02,15.7,0.46,43.27
7.98,12.96,2.31,12.45,0.46,50.85
8.57,19.07,2.28,17.6,0.45,42.66
9.84,19.11,2.01,24.22,0.42,44.08
11.13,20.15,2.05,20.83,0.43,54.43
10.76,20.12,2.1,19.99,0.41,54.34
11.51,19.44,2.47,19.54,0.46,60.59
17.73,35.59,2.91,25.24,0.54,59.3
15.53,32.55,2.93,23.6,0.51,58.35
20.9,33.67,4.21,18.84,0.56,64.05
22.35,44.68,8.53,14.18,0.54,63.43
25.4,45.1,8.77,11.33,0.53,80.35
31.72,49.86,7.18,12.31,0.57,90.55
35.85,44.03,7.79,13.03,0.53,98.93
31.53,38.5,7.73,16.46,0.66,67.27
17.36,31.27,8.25,13.32,0.64,53.65
13.99,31.19,6.7,9.1,0.6,66.53
24.7,39.08,6.17,19.24,0.61,51.84
16.93,24.28,3.4,13.94,0.51,58.38
8.35,12.65,1.92,9.8,0.46,54.22
5.98,12.52,1.73,9.88,0.47,48.81
5.94,10.71,1.92,9.23,0.42,47.42
5.14,9.29,1.93,9.77,0.46,39.84
5.8,10.28,2.1,6.16,0.42,41.3
3.21,8.74,1.53,4.26,0.4,35.87
6.03,11.85,1.69,16.68,0.59,31.66
7.62,15.88,1.56,15.45,0.47,34.29
7.93,16.74,1.87,16.89,0.45,41.24
5.71,11.11,1.78,5.74,0.3,53.23
5.42,11.65,1.74,8.87,0.32,46.82
4.88,10.77,1.53,12.78,0.36,38.79
4.2,11.83,1.49,13.55,0.39,33.44
3.55,9.19,1.34,13.39,0.38,31.46
3.95,8.96,1.33,14.15,0.44,30.4
4.25,9.78,1.53,15.21,0.46,25.24
3.84,9.71,1.42,15.3,0.48,22.85
4.99,9.08,1.81,11.82,0.49,24.32
7.87,10.64,2.2,11.8,0.59,23.78
8.47,13.32,2.5,9.42,0.5,22.35
8.4,16.65,2.2,11.61,0.48,21.72
7.9,13.89,2.48,8.69,0.39,26.26
9.35,13.32,2.78,7.75,0.29,25.98
12.49,17.48,2.61,8.49,0.35,25.76
17.75,25.51,3.19,12.16,0.45,39.33
17.54,29.54,4.58,6.88,0.33,51.16
18.25,32.33,4.88,9.09,0.41,54.12
18.37,30.59,3.45,8.56,0.45,39.21
17.97,28.35,2.9,11.17,0.51,33.58
13.82,21.06,2.49,19.79,0.59,36.83
9.45,19.38,1.67,18.33,0.58,33.8
6.45,10.85,1.49,7.78,0.49,48.59
5.62,10.14,1.49,5.11,0.47,55.68
6.91,10.61,1.6,5.16,0.46,54.49
7.28,11.9,1.76,4.0,0.52,53.4
7.82,12.24,1.82,4.55,0.65,53.38
11.03,15.22,2.3,8.85,0.7,44.85
17.83,26.6,3.9,10.77,0.79,50.18
24.68,42.46,8.1,6.12,0.77,74.28
24.4,45.47,8.47,9.73,0.81,75.85
24.6,44.44,7.68,11.27,0.63,69.08
20.31,40.89,6.57,14.9,0.44,60.13
18.23,32.83,5.32,10.42,0.43,59.33
11.6,22.25,3.71,10.82,0.41,55.36
7.22,10.52,2.19,13.6,0.45,38.66
6.68,12.95,1.93,20.75,0.54,32.22
10.82,22.99,3.32,17.34,0.41,31.79
17.23,33.15,7.08,18.84,0.5,31.6
21.88,34.82,5.49,24.28,0.64,31.66
12.77,20.29,4.5,14.33,0.53,30.61
11.65,17.02,2.62,15.95,0.64,24.19
8.67,19.65,1.97,9.98,0.76,34.45
12.62,19.73,2.02,10.81,0.71,32.2
9.91,16.19,2.07,12.74,0.6,39.09
9.36,19.33,2.76,19.92,0.53,40.58
13.15,17.94,3.86,10.6,0.52,39.19
11.33,14.56,2.85,5.32,0.71,41.94
17.26,24.02,2.79,4.2,0.77,74.23
18.47,24.92,2.66,12.69,0.84,77.95
20.35,28.26,3.24,16.94,0.85,75.14
20.83,29.02,6.97,10.17,0.77,73.67
12.03,20.66,5.56,3.0,0.56,80.08
4.73,7.67,1.83,2.41,0.51,60.8
3.96,5.07,1.61,3.55,0.66,44.13
5.47,7.64,1.75,2.32,0.69,42.96
7.39,10.79,2.16,10.72,0.83,35.22
11.1,15.06,2.4,12.01,0.79,32.45
14.22,20.32,3.68,11.93,0.82,27.46
13.86,19.68,2.56,18.54,0.77,30.89
18.74,23.17,2.64,14.68,0.61,37.2
17.77,21.86,2.6,14.56,0.57,28.58
15.39,19.83,2.95,15.12,0.63,32.33
13.47,20.24,2.78,20.88,0.77,34.28
12.23,19.17,3.43,17.77,0.65,33.58
13.14,18.08,3.29,9.75,0.7,37.3
23.3,34.96,7.67,10.91,0.81,49.45
21.75,40.24,7.95,12.55,0.74,56.87
24.96,42.55,7.38,19.07,0.7,60.86
24.55,41.93,6.14,22.88,0.71,39.69
15.51,32.02,7.0,14.99,0.61,34.85
18.62,31.53,6.84,20.61,0.75,28.47
23.76,35.92,6.86,15.0,0.69,56.49
18.25,27.64,6.05,15.98,0.71,59.29
9.89,21.01,5.43,11.08,0.61,37.68
11.76,13.99,2.91,14.96,0.83,34.21
18.26,25.93,4.84,13.53,0.88,32.26
13.5,29.5,7.79,9.66,0.62,24.2
13.97,28.12,6.77,15.41,0.63,21.83
10.89,25.36,8.06,13.25,0.61,46.35
9.99,23.69,8.65,14.49,0.6,56.05
14.06,20.61,5.52,14.9,0.64,79.88
22.2,28.63,5.09,6.56,0.65,96.41
42.89,57.51,6.76,17.89,0.8,119.04
54.47,70.14,10.73,25.1,0.86,115.53
54.13,70.73,10.12,20.01,0.77,114.45
44.9,59.37,8.58,27.44,0.63,99.19
46.23,63.03,8.32,25.18,0.7,95.41
50.01,66.74,8.0,21.72,0.72,100.52
52.46,67.5,8.57,20.23,0.75,94.77
44.28,57.84,7.75,23.19,0.67,112.41
28.72,40.49,7.74,22.6,0.59,84.6
30.62,38.2,8.18,16.7,0.53,89.03
22.72,29.57,4.68,16.31,0.55,72.23
11.62,16.54,2.31,12.28,0.55,46.75
11.73,16.98,2.12,11.88,0.5,37.19
13.49,20.18,2.25,9.42,0.48,40.51
17.24,23.25,2.31,4.63,0.47,58.17
15.55,23.11,2.11,5.54,0.5,56.2
16.77,24.85,2.45,3.31,0.46,65.24
20.77,32.62,7.2,4.53,0.53,80.34
24.63,31.58,8.36,5.48,0.64,79.01
19.43,30.97,6.54,10.49,0.56,78.2
19.53,31.06,3.56,4.46,0.5,74.34
9.24,15.82,2.11,4.48,0.45,44.88
8.0,14.18,1.84,3.42,0.53,32.36
6.86,12.17,2.04,7.26,0.58,26.22
6.08,11.08,2.22,6.89,0.5,30.73
6.38,11.71,2.25,5.97,0.52,32.4
13.13,22.89,4.16,4.17,0.38,44.91
15.0,30.05,3.18,3.82,0.44,42.6
12.12,20.61,2.4,6.17,0.52,42.72
10.24,17.85,2.76,9.64,0.49,36.57
8.37,14.18,2.74,11.12,0.57,36.25
6.01,11.09,2.34,4.92,0.59,41.9
6.22,10.5,2.67,7.51,0.59,39.31
8.31,16.67,3.44,12.51,0.58,30.93
7.36,13.6,3.05,8.78,0.54,32.44
4.97,8.53,1.97,4.58,0.43,39.66
7.19,15.26,2.23,4.7,0.42,40.68
12.69,19.6,2.54,4.6,0.41,53.4
10.09,19.16,3.14,4.47,0.38,51.24
15.57,23.02,3.45,3.96,0.39,71.12
16.93,24.18,4.7,5.21,0.4,74.92
20.18,35.47,6.29,8.44,0.46,76.71
35.22,44.4,7.1,7.57,0.66,91.36
14.78,28.28,5.04,4.41,0.52,85.69
11.51,20.15,2.44,3.51,0.46,78.32
13.69,25.0,2.34,5.43,0.52,75.71
22.62,29.04,6.75,6.28,0.54,85.21
19.97,27.81,4.33,7.05,0.53,85.04
14.63,22.75,2.96,9.62,0.55,59.11
18.25,31.35,6.4,10.74,0.61,54.75
22.53,34.84,5.45,8.4,0.62,73.56
17.4,28.97,4.07,11.05,0.68,55.11
13.72,24.76,7.42,8.6,0.65,53.88
14.68,26.31,7.41,8.33,0.61,65.39
19.05,31.01,8.71,10.33,0.6,60.82
14.17,27.72,9.14,20.34,0.8,42.56
20.89,29.54,7.09,11.48,0.71,55.03
15.79,27.49,7.6,8.37,0.61,64.34
17.44,25.98,5.86,10.15,0.62,67.35
15.82,22.97,3.8,11.11,0.64,62.2
19.83,33.43,6.26,13.68,0.63,54.51
28.39,44.23,7.83,10.25,0.86,64.54
22.91,30.39,6.91,6.96,0.92,60.85
29.79,38.3,10.79,7.83,0.68,70.34
22.1,33.16,9.07,7.23,0.46,88.35
22.47,31.03,7.7,6.52,0.45,78.0
19.9,27.48,7.5,10.05,0.49,73.02
11.64,18.33,5.02,7.51,0.48,58.97
7.78,15.81,2.2,5.99,0.46,52.08
9.04,15.98,2.63,12.46,0.54,36.98
10.34,17.72,3.26,19.49,0.73,25.11
19.06,36.2,7.81,15.22,0.84,30.64
13.44,26.32,7.85,7.95,0.86,62.86
27.35,44.51,7.62,10.77,0.89,58.82
20.03,33.33,8.41,10.06,0.92,54.94
