PM2.5,O3,PM10,SO2,NO2,CO
19.29,32.71,6.95,4.49,0.57,73.41
28.88,40.83,8.91,6.41,0.5,75.23
29.48,39.6,8.62,7.4,0.58,76.3
22.98,32.5,7.53,7.06,0.57,72.49
23.37,30.12,6.04,10.68,0.71,81.14
22.13,28.74,4.67,18.6,0.74,58.08
11.83,16.75,1.92,12.8,0.62,38.9
12.0,17.55,2.1,22.01,0.84,31.22
16.96,22.42,3.55,10.07,0.61,52.47
21.99,39.73,7.7,5.9,0.6,80.64
18.67,33.29,5.56,5.97,0.58,77.14
25.48,34.45,4.21,6.11,0.6,84.18
21.27,30.66,2.56,8.61,0.61,79.44
21.85,34.22,3.73,23.04,0.75,43.69
16.57,25.82,7.19,9.51,0.8,52.61
13.1,23.79,7.78,7.06,0.72,63.99
14.72,24.51,5.02,5.81,0.63,74.87
20.77,30.57,2.37,11.51,0.77,58.17
21.15,37.57,4.01,19.31,0.86,35.27
22.62,37.35,4.33,19.2,0.89,25.25
20.77,33.59,7.47,7.48,1.03,58.46
11.42,21.94,6.77,4.28,0.79,72.06
14.64,24.51,2.47,14.16,0.76,55.1
22.35,33.69,2.65,24.87,1.0,32.53
17.32,38.66,5.79,21.52,0.86,29.25
10.26,26.51,7.1,10.6,0.97,25.51
8.65,16.87,5.98,5.87,0.69,56.76
15.11,19.31,5.7,5.12,0.54,67.76
18.14,25.53,6.7,18.86,0.64,62.09
21.33,29.04,5.33,27.02,0.62,47.59
22.22,30.09,3.54,42.58,0.9,31.28
18.13,28.17,4.54,25.31,0.83,34.62
12.38,25.23,7.15,9.13,0.46,51.09
12.35,22.35,2.59,3.92,0.43,57.7
15.55,29.13,6.4,9.18,0.61,46.04
11.6,26.78,8.65,11.08,0.92,36.4
13.38,29.47,8.15,6.43,0.84,64.11
21.88,35.64,7.12,5.32,0.61,75.09
28.05,42.52,8.43,7.91,0.76,72.88
38.21,54.25,9.18,5.07,0.76,79.13
38.94,63.25,9.09,6.93,0.59,105.35
42.0,55.68,7.78,7.95,0.47,83.74
25.94,44.64,3.16,6.78,0.57,87.98
19.92,31.34,2.59,9.57,0.59,68.37
15.02,24.07,2.59,7.83,0.65,53.75
11.69,18.29,2.03,9.22,0.69,42.02
19.17,21.89,2.14,18.49,0.89,33.26
16.38,24.09,3.22,12.91,0.73,40.31
24.64,39.95,8.94,7.77,0.91,52.0
18.51,27.78,8.15,7.79,0.79,64.94
19.56,31.29,7.99,8.13,0.66,68.6
25.31,34.87,7.11,9.63,0.67,74.94
24.8,35.12,4.39,8.67,0.64,74.97
18.29,34.51,8.44,5.91,0.7,59.84
22.57,36.16,6.04,4.64,0.67,80.76
27.22,39.41,3.51,7.43,0.61,78.09
29.06,40.98,4.5,7.59,0.6,64.27
11.03,26.2,8.63,8.85,0.74,57.5
10.37,24.6,7.19,7.17,0.67,70.1
15.69,26.94,7.28,12.06,0.65,68.42
20.7,30.71,5.73,13.51,0.66,67.55
27.82,43.56,7.22,13.43,0.75,74.85
26.45,37.62,8.55,12.73,0.66,102.49
28.0,50.23,3.91,9.58,0.48,97.1
18.96,40.85,1.81,3.65,0.48,92.85
16.53,33.11,1.69,6.02,0.47,81.47
12.76,19.55,1.89,7.03,0.44,62.62
12.76,18.99,2.17,8.8,0.48,49.93
15.25,21.59,2.38,14.47,0.57,35.36
13.86,19.33,2.2,11.13,0.59,44.62
12.21,16.98,2.0,9.71,0.58,58.29
9.4,13.27,1.92,9.54,0.51,47.51
15.76,24.83,4.8,10.93,0.56,42.5
11.86,28.78,8.22,9.97,0.62,40.28
10.8,25.32,4.74,21.29,0.61,55.04
16.73,27.0,2.62,35.03,0.8,31.85
19.35,32.72,5.38,23.3,0.84,29.54
18.51,35.09,5.9,18.01,0.78,53.5
19.28,34.18,3.48,27.2,0.78,39.49
18.44,25.46,2.76,15.01,0.66,40.83
15.87,21.19,2.46,7.16,0.56,59.28
9.84,16.36,2.22,16.29,0.61,36.02
6.1,9.52,1.9,4.15,0.52,43.64
10.86,13.55,2.27,4.61,0.59,46.0
11.88,17.27,1.84,3.94,0.63,48.21
8.69,12.99,2.23,6.54,0.61,46.3
18.03,34.7,8.38,11.83,0.67,51.28
12.23,27.24,8.78,11.48,0.75,54.32
22.13,32.62,8.17,7.78,0.66,83.11
29.43,39.88,9.02,8.96,0.59,128.85
29.74,40.91,8.25,6.93,0.54,126.36
23.06,33.49,3.92,5.48,0.53,109.76
25.32,36.18,2.89,10.28,0.6,85.68
22.41,30.84,2.7,13.09,0.61,57.24
18.55,25.85,2.92,16.25,0.7,39.18
13.48,17.92,1.94,6.03,0.56,42.53
12.8,17.36,1.97,5.08,0.53,40.64
10.01,14.72,2.37,6.96,0.46,36.26
7.33,10.85,1.49,3.51,0.41,38.96
6.57,9.89,1.27,3.24,0.55,39.58
8.05,12.44,1.64,5.74,0.61,37.13
6.93,10.37,1.73,5.88,0.56,34.54
7.28,9.51,1.62,4.82,0.59,34.49
9.4,14.42,1.41,5.66,0.62,45.29
19.74,30.7,1.77,5.82,0.66,60.02
16.41,27.89,1.85,4.94,0.65,60.12
23.65,36.51,1.57,8.54,0.7,68.41
24.34,39.81,1.66,7.48,0.7,65.16
25.31,37.97,1.7,4.35,0.66,59.89
29.12,42.0,1.18,3.1,0.68,65.97
22.17,34.26,1.51,5.18,0.68,39.5
13.8,21.51,2.71,8.96,0.55,37.9
17.77,26.71,2.21,6.89,0.71,42.62
8.79,13.5,1.85,6.04,0.53,38.09
9.42,14.73,1.79,4.56,0.51,40.28
6.76,13.8,1.68,7.05,0.6,36.19
9.59,14.1,1.17,10.59,0.84,72.95
11.88,21.62,1.37,23.16,1.02,54.1
11.7,22.98,1.54,15.99,0.86,37.57
6.24,12.75,1.32,7.62,0.68,33.46
11.85,20.06,1.7,16.94,0.82,34.24
13.14,22.79,1.94,17.63,0.92,40.94
15.11,25.92,2.3,16.34,0.94,39.9
9.57,16.2,1.96,13.59,0.68,33.86
10.12,20.3,2.27,12.28,0.78,28.59
8.22,13.01,1.27,4.83,0.62,37.64
7.49,11.53,1.34,5.1,0.55,35.1
9.28,12.31,1.49,5.29,0.51,33.88
10.43,15.33,1.74,5.54,0.51,29.25
8.77,13.67,1.71,5.71,0.51,30.82
4.86,10.77,1.47,5.78,0.55,34.1
7.91,11.57,2.25,5.7,0.56,31.88
5.97,10.6,1.79,4.74,0.57,35.2
8.44,12.12,1.37,5.15,0.54,38.21
18.83,25.29,3.55,7.64,0.57,57.63
17.23,25.63,3.51,5.35,0.6,61.42
10.1,16.76,1.82,14.49,0.7,62.2
5.73,10.51,1.73,4.42,0.68,44.99
9.1,12.57,2.69,5.42,0.47,45.68
16.51,29.66,8.74,7.92,0.52,62.28
20.68,48.25,7.42,6.77,0.64,78.82
16.84,38.21,6.98,5.32,0.6,80.93
15.23,34.96,4.43,6.99,0.55,34.92
13.69,23.68,2.47,7.07,0.52,45.17
17.33,25.87,3.86,8.89,0.6,71.86
16.03,31.03,8.39,8.98,0.63,66.76
21.57,38.89,7.75,6.58,0.75,83.48
15.54,30.94,6.78,3.65,0.64,63.01
9.69,21.29,3.07,3.45,0.55,34.88
7.94,11.03,2.02,7.03,0.6,34.27
9.59,13.31,2.07,14.11,0.67,40.32
10.55,23.34,1.55,13.55,0.78,49.56
9.47,22.25,1.45,19.44,0.89,32.84
7.73,23.74,1.21,10.75,0.93,33.73
3.92,10.39,1.27,2.98,0.7,47.41
4.56,8.95,1.37,4.75,0.54,53.01
6.93,12.25,1.68,7.49,0.47,56.49
6.72,11.41,1.65,7.02,0.51,64.73
8.47,13.99,1.87,9.24,0.55,63.51
10.45,16.46,2.23,11.29,0.59,57.82
8.12,12.81,2.16,7.44,0.5,65.54
9.76,15.27,2.24,11.32,0.53,56.68
6.72,10.48,1.85,9.56,0.49,55.71
6.17,9.18,1.84,10.16,0.54,53.88
6.9,13.08,1.79,17.24,0.61,52.95
10.02,17.4,1.77,19.44,0.67,55.45
7.5,16.37,1.49,14.31,0.66,61.22
8.51,15.69,1.62,16.88,0.57,60.95
5.78,13.01,1.66,18.64,0.41,59.93
4.58,9.57,1.52,9.6,0.41,62.93
5.17,15.44,1.64,11.61,0.5,54.05
5.16,11.3,2.11,14.33,0.5,46.25
5.77,10.56,2.16,7.84,0.49,42.88
2.48,5.85,1.59,5.51,0.51,28.22
4.95,8.68,2.31,6.99,0.59,27.31
6.02,10.72,2.03,10.95,0.66,24.79
3.91,8.58,2.17,8.25,0.71,25.95
2.8,6.87,1.87,7.73,0.76,30.53
3.62,7.15,1.78,6.83,0.73,33.74
5.49,9.99,2.0,13.05,0.78,25.92
5.66,9.6,1.85,6.51,0.63,31.05
2.22,5.56,1.46,3.77,0.55,34.25
2.4,5.3,1.3,3.04,0.5,34.98
5.35,9.45,1.72,12.75,0.67,25.49
4.45,12.99,1.4,5.03,0.55,43.36
3.89,11.4,1.24,2.49,0.32,45.37
6.68,18.81,1.7,8.34,0.61,41.4
5.51,14.1,1.73,12.48,0.58,28.9
5.84,11.13,1.85,13.26,0.53,36.73
5.44,11.55,1.83,7.84,0.45,36.33
7.51,14.33,2.08,5.4,0.53,41.65
7.71,11.26,2.12,7.66,0.49,34.57
9.42,14.57,2.25,7.51,0.48,29.39
7.43,10.67,2.15,5.73,0.47,42.46
6.24,10.04,2.04,7.15,0.48,50.14
6.37,12.24,2.01,9.74,0.47,46.73
7.63,14.63,2.05,14.52,0.5,35.65
5.65,10.48,1.91,11.01,0.51,45.67
6.59,16.21,1.75,5.72,0.54,53.61
6.77,19.23,1.83,8.88,0.61,45.63
6.26,13.81,1.83,3.29,0.54,56.28
8.04,14.26,2.01,3.11,0.53,55.68
7.6,18.17,1.54,2.86,0.61,53.89
4.53,16.69,1.27,2.59,0.52,48.6
4.29,11.64,1.03,2.36,0.41,34.32
2.66,7.05,1.06,2.55,0.42,27.9
3.39,7.31,1.36,6.69,0.54,21.7
4.57,8.21,1.58,4.58,0.48,27.03
7.41,11.91,2.02,8.32,0.42,24.15
11.96,17.94,2.93,8.96,0.37,24.45
14.23,21.03,3.17,10.94,0.44,27.22
14.33,20.53,3.26,6.85,0.46,45.65
4.51,9.77,1.35,8.37,0.71,35.59
3.18,7.5,1.32,7.36,0.72,31.91
4.96,10.71,1.73,7.85,0.63,29.77
9.09,13.4,1.87,8.35,0.48,34.67
9.77,16.78,2.23,10.67,0.48,35.44
11.34,18.04,2.73,8.54,0.42,44.49
8.15,13.31,1.94,5.93,0.37,53.49
6.4,10.91,1.83,6.5,0.42,45.1
6.48,10.21,1.94,5.45,0.4,42.71
9.09,15.23,2.58,7.91,0.41,33.15
9.48,15.51,2.34,11.74,0.46,36.42
8.02,16.64,2.09,14.07,0.38,35.35
7.74,16.88,2.09,15.37,0.38,35.99
9.85,16.05,2.5,14.25,0.43,40.52
11.79,19.35,2.73,17.76,0.51,27.5
9.11,13.19,2.77,13.41,0.43,34.01
8.53,14.83,2.23,9.45,0.38,42.6
5.59,12.48,1.54,8.85,0.36,40.06
4.51,11.18,1.47,7.33,0.33,45.3
7.63,13.01,2.34,4.81,0.33,51.89
5.73,11.6,1.98,2.31,0.31,48.67
4.73,22.58,1.94,2.38,0.3,45.63
5.93,16.22,1.5,7.11,0.42,44.05
7.67,22.36,1.32,16.32,0.59,36.48
11.27,24.82,1.78,18.81,0.53,29.03
12.1,19.79,2.36,12.07,0.55,39.92
11.72,15.81,2.46,6.53,0.44,46.04
15.18,21.32,2.25,10.67,0.48,31.73
20.94,32.16,4.13,15.61,0.54,40.67
25.7,36.19,3.77,17.79,0.58,44.39
18.76,33.64,3.9,13.68,0.56,44.04
22.8,44.73,8.69,18.45,0.62,38.16
15.3,36.19,10.09,11.37,0.57,55.64
15.13,33.98,8.5,12.5,0.51,57.63
12.64,23.9,3.23,15.96,0.46,40.44
4.7,9.19,1.73,8.85,0.36,40.66
8.22,18.21,3.03,12.82,0.45,39.71
11.43,19.94,4.33,8.6,0.46,51.25
13.41,28.0,5.23,18.67,0.57,21.39
17.7,43.02,8.06,11.93,0.56,37.25
19.69,34.89,6.33,14.25,0.56,48.72
9.42,15.44,2.76,15.49,0.44,37.66
8.33,18.65,2.48,16.39,0.55,35.57
7.75,20.31,2.25,14.15,0.56,32.32
7.58,17.12,2.54,11.97,0.58,27.02
8.35,13.66,3.08,7.32,0.56,26.85
3.98,7.61,1.69,2.63,0.38,36.04
2.52,6.05,1.23,2.03,0.4,36.86
4.2,7.66,1.79,7.93,0.49,36.09
22.33,38.34,5.85,7.67,0.56,47.17
29.86,46.2,7.7,11.4,0.61,70.75
28.68,44.63,8.54,12.73,0.62,69.48
34.41,46.1,9.7,6.47,0.48,87.18
33.17,39.06,8.47,6.3,0.34,98.24
28.06,39.72,9.38,8.36,0.53,85.23
16.83,25.41,5.64,4.22,0.42,74.38
10.13,15.83,3.01,3.85,0.48,51.45
5.55,8.17,2.08,6.16,0.59,30.75
4.92,8.05,2.07,4.47,0.62,28.24
8.28,12.62,2.32,8.74,0.65,25.29
13.59,20.5,2.54,10.33,0.53,30.08
17.14,27.23,3.44,12.43,0.44,34.49
22.18,35.61,5.73,11.65,0.48,44.98
43.07,59.29,9.7,15.92,0.69,65.87
24.92,37.42,8.54,7.31,0.71,75.67
20.7,35.72,8.87,9.43,0.68,78.39
21.86,34.06,7.49,10.01,0.67,43.06
13.21,26.61,7.94,4.9,0.37,54.51
17.52,32.09,6.86,12.78,0.49,40.29
19.14,26.89,6.12,15.0,0.54,40.58
14.96,28.42,6.53,12.42,0.51,38.5
18.7,35.27,8.35,12.71,0.52,49.73
24.02,41.47,8.29,10.51,0.59,60.18
27.09,36.91,7.88,9.9,0.63,71.98
23.18,31.42,7.06,9.83,0.64,69.95
22.43,33.35,6.8,9.13,0.66,82.66
17.72,25.67,6.81,13.34,0.61,61.11
9.23,15.92,5.5,5.46,0.4,44.4
7.79,11.8,1.71,2.24,0.41,44.13
10.39,15.18,2.45,3.28,0.45,52.7
17.49,25.8,6.15,9.55,0.58,71.19
17.61,28.41,6.53,15.66,0.71,52.01
11.24,21.05,5.92,3.37,0.5,56.7
17.39,29.58,6.49,15.44,0.62,47.41
21.27,31.77,7.97,16.61,0.7,41.52
23.44,37.33,7.85,18.26,0.75,42.32
23.37,40.52,7.05,16.26,0.75,39.3
19.95,38.84,6.36,9.97,0.66,31.07
12.97,26.59,3.47,7.54,0.56,31.22
5.68,10.12,1.86,4.9,0.54,33.56
11.26,16.0,2.06,3.74,0.35,40.67
8.13,14.35,1.94,8.63,0.42,33.28
10.78,17.69,2.05,7.65,0.44,35.33
16.08,25.5,4.25,7.09,0.41,53.09
17.27,31.31,7.0,5.09,0.42,63.28
14.38,21.81,4.81,3.75,0.44,63.3
22.45,32.93,7.9,4.7,0.45,84.89
21.77,32.25,8.57,5.95,0.52,84.16
21.21,28.58,7.86,7.1,0.54,80.44
20.68,29.18,7.23,9.6,0.52,88.37
20.3,29.53,5.02,10.17,0.59,81.83
11.01,18.59,2.09,4.0,0.45,61.88
8.31,13.0,1.67,3.38,0.41,52.83
9.95,15.32,2.39,3.79,0.4,55.79
20.16,41.73,7.49,7.5,0.55,66.82
17.16,36.82,7.06,9.45,0.74,68.57
12.51,26.59,7.42,8.34,0.69,64.28
14.0,23.94,4.12,6.94,0.51,67.46
11.37,19.08,2.36,6.81,0.5,54.4
11.38,21.57,2.47,7.33,0.51,53.98
13.44,19.65,2.77,7.56,0.49,59.63
17.84,30.21,4.6,8.88,0.41,59.31
18.49,31.18,2.86,10.19,0.49,56.05
12.78,19.38,2.33,8.25,0.58,43.37
12.08,19.55,2.38,7.49,0.6,24.78
10.95,18.77,2.39,8.28,0.58,19.52
6.96,12.31,2.04,6.3,0.51,23.22
5.01,8.18,1.99,6.43,0.51,19.42
8.15,16.33,3.96,9.72,0.44,20.46
7.85,23.88,6.48,8.81,0.53,44.92
8.85,22.73,6.29,8.17,0.48,55.25
11.78,31.13,6.32,12.39,0.5,45.85
12.37,29.52,6.03,10.85,0.62,51.25
17.9,32.18,6.46,9.79,0.53,71.67
18.55,28.32,7.64,12.3,0.63,70.84
20.88,29.55,8.01,10.17,0.6,70.38
28.4,40.12,8.27,12.04,0.58,79.68
23.1,34.99,7.54,7.74,0.51,80.96
15.42,28.03,7.62,6.25,0.49,72.34
20.57,32.68,7.29,10.5,0.5,65.35
20.37,32.6,7.42,12.62,0.5,61.65
40.79,55.8,6.66,15.83,0.62,73.21
31.95,47.54,7.03,9.57,0.58,85.71
34.31,55.43,8.67,12.76,0.6,96.63
44.26,69.66,10.54,23.32,0.69,104.92
39.97,59.48,8.24,19.48,0.69,106.21
20.08,35.5,5.41,5.87,0.5,77.6
10.55,26.43,2.07,3.85,0.43,67.34
8.98,21.47,1.86,3.51,0.46,64.41
18.69,33.59,6.87,7.82,0.51,74.3
19.97,34.38,6.39,9.16,0.79,74.74
26.77,37.02,7.32,9.96,0.93,79.66
22.87,31.44,6.75,6.06,0.64,81.03
16.9,29.03,3.51,5.9,0.62,70.02
9.64,22.72,1.99,4.05,0.56,71.46
11.19,21.9,2.2,4.35,0.55,69.92
10.54,17.92,2.33,6.31,0.51,59.72
18.79,35.41,5.26,8.76,0.58,60.34
22.57,42.34,5.39,7.36,0.74,79.89
14.39,29.38,5.12,7.54,0.74,64.04
20.63,36.14,2.57,4.89,0.61,66.05
13.17,25.5,2.18,7.62,0.5,59.84
19.35,40.87,5.74,11.82,0.64,58.25
23.61,45.34,6.19,10.44,0.65,70.8
24.06,35.31,7.72,12.08,0.57,72.02
22.87,31.77,8.2,16.41,0.55,71.96
13.87,23.08,6.82,6.4,0.39,76.2
12.81,19.65,3.45,3.9,0.31,71.58
9.62,17.95,2.07,6.91,0.3,62.31
14.36,22.96,3.84,12.59,0.38,61.33
13.23,21.93,2.02,5.2,0.33,74.15
15.26,24.02,1.72,7.93,0.36,70.44
15.46,22.87,1.8,8.62,0.37,63.48
16.19,24.42,2.13,16.35,0.42,42.16
15.79,24.2,2.58,8.4,0.38,52.27
25.21,39.43,6.5,5.59,0.47,66.21
25.61,43.13,4.06,4.03,0.55,80.08
24.55,40.5,2.67,3.2,0.56,79.66
23.22,39.2,2.46,4.56,0.52,68.18
21.4,40.96,7.51,13.75,0.84,60.74
11.39,26.33,8.4,15.71,1.05,50.9
9.48,23.39,7.07,9.58,0.77,56.09
11.31,22.45,5.96,7.79,0.61,62.64
11.35,21.69,1.94,4.26,0.5,72.01
10.32,18.79,1.86,5.41,0.44,71.45
16.31,24.97,3.58,8.71,0.49,58.5
22.2,38.04,7.95,7.17,0.55,63.99
19.61,31.91,7.63,5.77,0.68,72.66
27.29,35.04,7.13,5.35,0.71,83.42
27.91,34.01,7.13,5.42,0.64,89.56
18.74,25.94,3.78,5.07,0.57,75.44
12.48,19.67,3.6,3.04,0.32,75.24
19.65,27.09,5.9,3.21,0.37,84.1
21.8,33.05,4.59,2.92,0.34,85.67
24.22,32.09,3.3,6.08,0.32,78.16
22.21,28.87,1.98,9.38,0.38,60.47
18.2,24.78,3.6,8.64,0.39,57.6
21.83,37.15,5.56,7.14,0.56,48.78
11.43,21.59,4.47,3.77,0.41,67.7
17.13,25.77,5.53,3.37,0.41,72.34
13.41,21.29,2.67,3.04,0.47,71.43
13.34,19.97,1.95,4.8,0.46,68.08
15.0,24.5,4.98,6.04,0.47,64.35
21.01,31.44,4.92,7.73,0.5,73.16
17.84,36.58,3.22,3.88,0.59,66.96
26.79,41.19,2.49,5.59,0.61,63.6
14.92,27.78,7.06,6.56,0.79,58.27
29.03,39.48,7.33,5.78,0.78,71.89
37.45,44.41,8.21,5.82,0.85,78.47
40.88,41.93,8.16,6.5,0.77,92.24
32.43,40.61,6.58,5.26,0.67,103.78
16.83,24.9,2.58,3.47,0.46,91.29
14.6,25.04,2.03,3.92,0.42,82.77
9.66,17.12,1.49,4.05,0.32,78.02
12.25,18.67,1.6,5.32,0.34,70.91
14.65,20.02,1.99,5.98,0.33,70.32
20.16,29.02,2.99,8.86,0.42,63.65
20.48,27.83,2.41,10.07,0.43,46.94
11.02,15.88,1.9,6.88,0.35,36.47
7.0,10.0,1.83,5.89,0.34,36.97
13.76,20.38,3.59,7.22,0.35,30.39
15.73,29.87,7.03,9.0,0.56,49.06
12.67,25.94,6.96,10.2,0.64,56.18
12.1,24.08,7.2,8.19,0.67,57.87
14.63,30.02,7.37,8.53,0.56,71.46
28.15,35.79,4.21,4.78,0.44,82.49
29.39,39.04,3.83,7.72,0.53,86.36
46.7,59.4,8.21,10.68,0.59,108.34
36.86,59.76,4.8,8.34,0.55,119.97
28.0,42.51,3.08,9.1,0.51,92.96
24.49,35.87,2.9,14.9,0.55,56.95
20.06,33.8,3.17,24.01,0.54,31.77
21.73,31.36,3.03,11.42,0.45,47.72
24.8,34.73,2.52,7.4,0.43,69.17
18.62,30.47,2.74,6.13,0.45,83.89
26.95,37.62,2.84,10.43,0.47,68.14
26.12,39.73,2.96,18.68,0.49,33.72
22.65,28.89,2.08,5.31,0.36,50.67
22.64,29.56,1.92,6.6,0.45,49.06
23.89,31.75,2.66,15.31,0.57,38.75
20.23,29.38,2.01,2.98,0.41,61.88
16.48,26.69,1.65,2.72,0.48,83.5
15.27,26.34,1.62,3.5,0.5,70.48
13.99,21.8,1.57,3.88,0.53,59.62
16.03,23.56,1.81,4.25,0.52,65.29
15.33,22.98,1.88,5.01,0.49,62.19
15.99,22.38,2.05,5.34,0.46,56.08
13.53,18.93,1.61,3.28,0.36,57.9
14.44,20.73,2.2,6.79,0.4,41.39
12.76,17.4,1.88,3.99,0.4,46.11
15.62,21.03,2.75,5.32,0.43,32.63
10.41,27.42,7.88,6.65,0.63,55.43
10.87,23.17,5.03,4.98,0.61,84.57
21.24,34.44,2.25,5.74,0.61,90.68
22.29,32.47,2.03,7.12,0.57,60.88
19.41,27.8,2.23,6.43,0.43,43.17
16.48,27.86,4.03,10.18,0.44,37.41
11.96,26.29,7.38,6.41,0.6,80.0
20.39,35.67,4.97,3.68,0.46,112.79
20.1,33.87,2.87,2.71,0.38,111.79
13.81,30.95,1.92,3.12,0.34,91.68
13.56,23.4,1.91,5.03,0.35,73.2
14.28,21.96,2.37,6.67,0.39,49.65
12.68,18.37,1.91,4.71,0.4,37.78
11.63,16.83,1.9,5.45,0.4,37.7
8.0,12.76,1.58,5.58,0.42,35.77
7.43,13.92,1.41,3.55,0.46,47.05
10.32,19.2,1.58,8.2,0.5,49.16
16.44,28.79,3.81,9.02,0.47,42.94
12.67,29.68,6.32,11.47,0.57,72.79
14.26,24.79,2.98,9.58,0.58,68.64
9.46,15.96,1.57,9.09,0.56,43.77
10.63,15.15,1.94,7.09,0.46,43.03
12.76,16.87,2.23,8.11,0.45,44.44
15.49,23.3,2.63,12.42,0.54,32.2
13.7,23.7,1.62,13.36,0.55,36.39
15.56,20.64,1.24,6.63,0.54,58.54
20.0,26.11,1.51,5.47,0.48,68.06
25.14,34.95,6.27,5.7,0.5,77.74
20.0,33.4,5.87,6.61,0.51,83.44
21.63,33.03,3.61,10.93,0.5,79.23
13.22,20.49,2.17,8.11,0.55,51.52
10.4,15.7,1.29,4.75,0.46,45.69
18.64,28.61,3.94,8.17,0.42,53.26
24.17,36.46,7.3,8.47,0.62,86.3
28.77,37.54,6.21,12.6,0.62,79.67
26.46,36.11,4.1,7.47,0.54,89.59
21.6,27.45,2.37,6.05,0.48,74.35
15.3,20.93,1.81,11.04,0.42,45.24
8.8,15.22,1.28,6.32,0.32,39.31
7.66,10.19,1.27,3.58,0.29,39.36
12.89,14.77,2.31,11.23,0.38,35.33
12.46,19.52,2.11,10.18,0.54,23.63
13.31,16.97,1.75,4.99,0.47,26.38
13.28,18.27,1.95,7.69,0.52,32.0
10.92,15.88,2.36,6.43,0.46,33.9
8.08,10.77,1.76,6.63,0.45,37.29
9.37,13.66,1.67,4.65,0.42,40.03
10.81,15.15,2.01,7.12,0.43,37.17
10.51,16.67,2.42,8.76,0.43,33.43
9.49,13.36,2.17,8.82,0.44,34.3
6.41,11.2,1.5,11.36,0.53,27.84
12.07,21.52,4.72,8.18,0.44,50.73
18.54,33.39,7.2,9.26,0.46,69.68
21.83,34.25,4.54,8.54,0.51,77.26
16.7,22.43,1.83,6.25,0.44,64.46
10.14,21.45,2.21,4.73,0.37,49.62
11.72,28.13,3.28,8.13,0.43,40.56
16.21,21.84,2.49,6.14,0.47,53.8
11.29,16.11,2.08,7.74,0.48,51.86
14.99,20.99,2.39,10.44,0.47,55.69
16.52,31.45,7.32,7.4,0.49,71.52
16.38,32.17,6.66,12.47,0.69,73.54
21.66,39.78,6.04,13.36,0.81,74.58
21.63,32.55,4.8,8.24,0.58,96.06
19.85,27.34,2.8,7.35,0.56,67.51
14.64,21.62,1.73,8.21,0.55,45.51
12.32,18.56,2.29,8.79,0.57,34.39
7.48,10.54,1.44,2.67,0.35,62.93
5.31,9.54,1.13,3.13,0.37,64.07
5.65,9.96,1.22,4.1,0.34,65.59
5.91,11.22,1.25,10.5,0.35,55.98
6.54,15.57,1.28,19.06,0.4,46.06
5.95,13.32,1.49,13.85,0.42,49.75
5.2,7.53,1.54,7.49,0.38,41.61
6.07,9.4,1.49,8.36,0.4,32.97
7.85,13.61,1.7,9.34,0.5,38.27
7.34,11.76,1.99,9.74,0.39,40.97
8.91,14.89,2.06,10.11,0.41,38.08
7.54,10.91,1.68,7.68,0.4,45.49
7.74,12.1,1.69,9.14,0.46,52.94
10.77,21.3,1.55,3.62,0.43,63.88
7.0,11.76,1.43,3.57,0.37,62.97
6.61,12.11,1.26,5.39,0.47,62.42
11.95,20.44,1.92,14.12,0.5,57.11
11.53,17.15,1.95,21.04,0.68,34.15
8.78,17.62,1.58,21.93,0.76,29.03
7.96,18.41,1.41,24.59,0.74,22.31
7.84,17.7,1.49,16.68,0.54,36.85
8.78,13.22,1.46,5.52,0.35,61.72
4.24,7.96,1.14,3.81,0.37,42.78
4.36,8.14,1.13,5.57,0.38,42.68
6.31,10.26,1.33,3.61,0.38,54.0
3.94,7.78,1.06,3.01,0.37,45.41
4.47,9.05,1.1,3.64,0.41,39.27
2.82,7.07,0.91,3.63,0.36,30.37
4.26,7.09,0.92,7.55,0.49,28.77
